STATION,NAME,DATE,Month,Day,Year,Season,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TDIFF
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/21/1948,9,21,1948,Fall,0,0,0,,90,68,22
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/22/1948,9,22,1948,Fall,0,0,0,,87,66,21
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/23/1948,9,23,1948,Fall,0,0,0,,79,59,20
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/24/1948,9,24,1948,Fall,0,0,0,,77,56,21
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/25/1948,9,25,1948,Fall,0,0,0,,75,53,22
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/26/1948,9,26,1948,Fall,0,0,0,,76,60,16
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/27/1948,9,27,1948,Fall,1.34,0,0,,70,65,5
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/28/1948,9,28,1948,Fall,0.43,0,0,,76,68,8
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/29/1948,9,29,1948,Fall,0.26,0,0,,80,70,10
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",9/30/1948,9,30,1948,Fall,1.17,0,0,,80,71,9
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/1/1948,10,1,1948,Fall,0.08,0,0,,78,69,9
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/2/1948,10,2,1948,Fall,0.21,0,0,,77,65,12
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/3/1948,10,3,1948,Fall,0,0,0,,79,63,16
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/4/1948,10,4,1948,Fall,1.36,0,0,,67,60,7
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/5/1948,10,5,1948,Fall,0.06,0,0,,62,52,10
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/6/1948,10,6,1948,Fall,0,0,0,,71,48,23
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/7/1948,10,7,1948,Fall,0,0,0,,72,54,18
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/8/1948,10,8,1948,Fall,0,0,0,,77,53,24
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/9/1948,10,9,1948,Fall,0,0,0,,74,53,21
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/10/1948,10,10,1948,Fall,0,0,0,,77,49,28
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/11/1948,10,11,1948,Fall,0.08,0,0,,75,55,20
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/12/1948,10,12,1948,Fall,0.02,0,0,,72,58,14
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/13/1948,10,13,1948,Fall,0,0,0,,72,54,18
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/14/1948,10,14,1948,Fall,0,0,0,,75,52,23
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/15/1948,10,15,1948,Fall,0,0,0,,70,43,27
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/16/1948,10,16,1948,Fall,0,0,0,,73,48,25
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/17/1948,10,17,1948,Fall,0,0,0,,79,49,30
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/18/1948,10,18,1948,Fall,0,0,0,,65,42,23
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/19/1948,10,19,1948,Fall,0,0,0,,61,36,25
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/20/1948,10,20,1948,Fall,0,0,0,,68,36,32
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/21/1948,10,21,1948,Fall,0,0,0,,63,39,24
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/22/1948,10,22,1948,Fall,0.03,0,0,,66,39,27
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/23/1948,10,23,1948,Fall,0,0,0,,73,48,25
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/24/1948,10,24,1948,Fall,0.19,0,0,,61,48,13
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/25/1948,10,25,1948,Fall,0,0,0,,68,45,23
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/26/1948,10,26,1948,Fall,0,0,0,,72,43,29
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/27/1948,10,27,1948,Fall,0,0,0,,77,45,32
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/28/1948,10,28,1948,Fall,0,0,0,,73,45,28
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/29/1948,10,29,1948,Fall,0,0,0,,74,44,30
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/30/1948,10,30,1948,Fall,0,0,0,,74,42,32
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",10/31/1948,10,31,1948,Fall,0,0,0,,76,43,33
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/1/1948,11,1,1948,Fall,0,0,0,,78,56,22
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/2/1948,11,2,1948,Fall,0,0,0,,75,56,19
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/3/1948,11,3,1948,Fall,0.02,0,0,,74,60,14
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/4/1948,11,4,1948,Fall,0.43,0,0,,81,65,16
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/5/1948,11,5,1948,Fall,0,0,0,,82,66,16
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/6/1948,11,6,1948,Fall,0,0,0,,82,69,13
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/7/1948,11,7,1948,Fall,0.54,0,0,,73,52,21
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/8/1948,11,8,1948,Fall,0,0,0,,67,49,18
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/9/1948,11,9,1948,Fall,0.03,0,0,,78,58,20
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/10/1948,11,10,1948,Fall,0.09,0,0,,83,63,20
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/11/1948,11,11,1948,Fall,0.06,0,0,,64,46,18
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/12/1948,11,12,1948,Fall,0.49,0,0,,57,44,13
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/13/1948,11,13,1948,Fall,0,0,0,,73,52,21
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/14/1948,11,14,1948,Fall,0,0,0,,64,47,17
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/15/1948,11,15,1948,Fall,0,0,0,,70,40,30
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/16/1948,11,16,1948,Fall,0,0,0,,74,40,34
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/17/1948,11,17,1948,Fall,0.51,0,0,,72,52,20
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/18/1948,11,18,1948,Fall,0,0,0,,72,50,22
USW00013748,"WILMINGTON INTERNATIONAL AIRPORT, NC US",11/19/1948,11,19,1948,Fall,0.37,0,0,,79,62,17
