Year,Annual Mean Jellyfish,Error,N
1940,0.2844883233,0.6327256577,2
1941,0.2844883233,0.6327256577,2
1942,0.2844883233,0.6327256577,2
1943,0.2844883233,0.6327256577,2
1944,0.2844883233,0.6327256577,2
1945,0.2844883233,0.6327256577,2
1946,-0.1063172776,0.5349544563,3
1947,0.1235175315,0.3991977561,3
1948,0.1502226818,0.2940756944,4
1949,-0.4425673682,0.2222533958,4
1950,-0.2552285474,0.310929972,4
1951,-0.4431085456,0.1489601568,6
1952,-0.5012408773,0.153142344,6
1953,-0.5695677116,0.2148614185,6
1954,-0.4938328766,0.1762559209,6
1955,-0.2563161583,0.2599841052,7
1956,0.2574314946,0.2665087411,7
1957,0.4418062148,0.3002243878,8
1958,0.5548185417,0.4516609439,8
1959,0.6531201137,0.6362195017,7
1960,-0.4399260702,0.2908385926,8
1961,0.2854432953,0.4461268624,9
1962,-0.1898414462,0.2659615245,10
1963,0.00970879155,0.2578782403,10
1964,-0.3383484128,0.2454953328,10
1965,-0.4944911721,0.1540690804,10
1966,-0.5010058711,0.1565246584,11
1967,-0.4469580101,0.1566550411,8
1968,-0.138820272,0.2875806753,8
1969,0.5786042788,0.6724444452,10
1970,-0.6286433676,0.2559600996,9
1971,-0.8160239297,0.1110090912,10
1972,-0.5572800676,0.1319343939,13
1973,-0.2392233263,0.3276339159,13
1974,-0.2874979535,0.2827633455,15
1975,-0.7246534625,0.1090293697,17
1976,-0.4660348782,0.2238955086,16
1977,-0.4406316566,0.1391864444,16
1978,0.003335138203,0.2698411602,18
1979,-0.004003962987,0.1758411146,20
1980,-0.1014560204,0.163710398,21
1981,0.06500844463,0.2610310225,22
1982,0.3820394154,0.2292658292,22
1983,0.06500904833,0.1638432649,24
1984,0.1757875189,0.1578951815,26
1985,0.1520663397,0.1999065239,26
1986,0.1659466572,0.1743675627,26
1987,0.1891056639,0.272994063,26
1988,-0.07053172422,0.1748602855,29
1989,0.08064468286,0.2120307675,28
1990,-0.283482809,0.1071394297,29
1991,-0.1865445517,0.1364354754,34
1992,-0.1914339533,0.121883085,35
1993,-0.3322410732,0.1518167466,37
1994,-0.08831225281,0.1485893707,40
1995,-0.05262839307,0.131178089,40
1996,-0.127231275,0.0971055411,39
1997,-0.07538312633,0.1418022903,37
1998,-0.01237700612,0.1757918088,39
1999,-0.1503083825,0.09563052737,41
2000,-0.1354848512,0.1145988041,43
2001,0.09912168671,0.1408866299,44
2002,-0.02592345155,0.1327458735,47
2003,0.2550805547,0.1483227135,49
2004,0.1584901937,0.1688341493,47
2005,0.3773194193,0.1842381131,45
2006,0.208488028,0.1551805928,45
2007,0.295390855,0.2171878584,41
2008,0.08413054396,0.1680864303,43
2009,0.05230811802,0.1700161844,40
2010,-0.1876059531,0.1161741125,33
2011,0.2227224132,0.1733712044,30
2012,0.1601934223,0.1982426391,24
2013,0.8823832453,0.2981577062,22
2014,0.5574146152,0.312696425,17
2015,-0.08018114651,0.2535582112,15
2016,-0.2035615522,0.2122542059,10
2017,-0.2008899512,0.2493956673,9
2018,0.004003938674,0.2322810463,8
2019,0.3996243207,0.309697666,8
2020,0.1751933932,0.213795302,4
2021,0.9622989742,,2
